Slippin' Into Darkness
Nice To Be With You

mysql> source C:\Users\emily\Documents\databases\Project\p6.txt
+--------------------------------------------------------------------------------+--------------+
| tr_title                                                                       | timesonchart |
| That's The Way I Feel About 'Cha                                               |           10 |
| We've Come Too Far To End It Now                                               |           10 |
| Sweet Seasons                                                                  |           10 |
| That's The Way God Planned It                                                  |           10 |
| We Can Make It Together                                                        |           10 |
| You Wear It Well                                                               |           10 |
| Iron Man                                                                       |           10 |
| Be My Lover                                                                    |           10 |
| Stay With Me                                                                   |           10 |
| I Need You                                                                     |           10 |
| Dialogue (Part I & II)                                                         |           10 |
| Join Together                                                                  |           10 |
| Softly Whispering I Love You                                                   |           10 |
| In A Broken Dream                                                              |           10 |
| Glory Bound                                                                    |           10 |
| Together Let's Find Love                                                       |           10 |
| Breaking Up Is Hard To Do                                                      |           10 |
| Honky Cat                                                                      |           10 |
| The Nickel Song                                                                |           10 |
| Why Can't We Be Lovers                                                         |           10 |
| Isn't Life Strange                                                             |           10 |
| Dancing In The Moonlight                                                       |           10 |
| The Wedding Song (There Is Love)                                               |           10 |
| Fire And Water                                                                 |           10 |
| Long-Haired Lover From Liverpool                                               |           10 |
| Keep Playin' That Rock N Roll                                                  |            9 |
| Long Dark Road                                                                 |            9 |
| (It's The Way) Nature Planned It                                               |            9 |
| Automatically Sunshine                                                         |            9 |
| Little Bitty Pretty One                                                        |            9 |
| Jump Into The Fire                                                             |            9 |
| Francene                                                                       |            9 |
| I'll Make You Music                                                            |            9 |
| Feeling Alright                                                                |            9 |
| Clean Up Woman                                                                 |            9 |
| Lay-Away                                                                       |            9 |
| I Had It All The Time                                                          |            9 |
| Brand New Key                                                                  |            9 |
| I Can't Help Myself (Sugar Pie, Honey Bunch)                                   |            9 |
| Love Gonna Pack Up (And Walk Out)                                              |            9 |
| Living In The Past                                                             |            9 |
| Old Man                                                                        |            9 |
| Amazing Grace                                                                  |            9 |
| Woman's Gotta Have It                                                          |            9 |
| Diamonds Are Forever                                                           |            9 |
| Sweet Caroline (Good Times Never Seemed So Good)                               |            9 |
| Do The Funky Penguin (Part 1)                                                  |            9 |
| Waking Up Alone                                                                |            9 |
| Poor Boy                                                                       |            9 |
| Man Sized Job                                                                  |            9 |
| If I Were A Carpenter                                                          |            9 |
| Vanilla Olay                                                                   |            9 |
| Hold Her Tight                                                                 |            9 |
| Too Young                                                                      |            9 |
| America                                                                        |            9 |
| No One To Depend On                                                            |            9 |
| Starman                                                                        |            9 |
| Toast To The Fool                                                              |            9 |
| Son Of Shaft                                                                   |            9 |
| Show Me How                                                                    |            9 |
| The Coldest Days Of My Life (Part 1)                                           |            9 |
| The Runway                                                                     |            9 |
| The Family Of Man                                                              |            9 |
| Could It Be Forever                                                            |            9 |
| I Didn't Know I Loved You (Till I Saw You Rock And Roll)                       |            9 |
| How Can I Be Sure                                                              |            9 |
| A Simple Man                                                                   |            9 |
| I Miss You (Part 1)                                                            |            9 |
| Me And Mrs. Jones                                                              |            9 |
| Ring The Living Bell                                                           |            9 |
| Your Precious Love                                                             |            9 |
| Victim Of A Foolish Heart                                                      |            9 |
| If You Leave Me Tonight I'll Cry                                               |            9 |
| Jubilation                                                                     |            9 |
| Theme From "The Men"                                                           |            9 |
| Put It Where You Want It                                                       |            9 |
| Love Me, Love Me Love                                                          |            9 |
| Sunshine                                                                       |            9 |
| Until It's Time For You To Go                                                  |            9 |
| (Oh Lord Won't You Buy Me A) Mercedes Benz                                     |            9 |
| Immigration Man                                                                |            9 |
| In Heaven There Is No Beer                                                     |            9 |
| Love Theme From "The Godfather"                                                |            9 |
| Butterfly                                                                      |            9 |
